№	Раздел (ред. N 805 от 30.06.2026)	Стало (ред. N 805 от 30.06.2026) — полная формулировка	Было (исходная редакция) — полная формулировка	Характер изменения
1	Тема 1	Тема 1. Организационно-правовые аспекты оказания первой помощи	Тема 1. Организационно-правовые аспекты оказания первой помощи	Без изменений
1.Т	Тема 1 / Теоретическое занятие по теме 1	Теоретическое занятие по теме 1	Теоретическое занятие по теме 1	Без изменений
1.1	Тема 1 / Теоретическое занятие по теме 1	Нормативно-правовая база и организация оказания первой помощи в Российской Федерации.	Организация оказания первой помощи в Российской Федерации. Нормативно-правовая база, определяющая права, обязанности и ответственность при оказании первой помощи.	Сокращение / обобщение
1.2	Тема 1 / Теоретическое занятие по теме 1	Укладки, наборы, комплекты и аптечки для оказания первой помощи. Основные компоненты и их назначение.	Современные наборы средств и устройств, использующиеся для оказания первой помощи (аптечка первой помощи (автомобильная), аптечка для оказания первой помощи работникам и др.). Основные компоненты, их назначение.	Переформулирование
1.3	Тема 1 / Теоретическое занятие по теме 1	Порядок оказания первой помощи. Приоритетность оказания первой помощи.	Понятие "первая помощь". Перечень состояний, при которых оказывается первая помощь, перечень мероприятий по ее оказанию.	Существенная переработка
1.4	Тема 1 / Теоретическое занятие по теме 1	Перечень состояний, при которых оказывается первая помощь. Перечень мероприятий по оказанию первой помощи и последовательность их выполнения.	Понятие "первая помощь". Перечень состояний, при которых оказывается первая помощь, перечень мероприятий по ее оказанию.	Переформулирование
1.5	Тема 1 / Теоретическое занятие по теме 1	Обеспечение безопасных условий для оказания первой помощи. Профилактика инфекционных заболеваний при оказании первой помощи.	Общая последовательность действий на месте происшествия с наличием пострадавших. Соблюдение правил личной безопасности и обеспечение безопасных условий для оказания первой помощи (возможные факторы риска, их устранение). Простейшие меры профилактики инфекционных заболеваний, передающихся при непосредственном контакте с человеком, его кровью и другими биологическими жидкостями.	Сокращение / обобщение
1.6	Тема 1 / Теоретическое занятие по теме 1	Извлечение пострадавших из труднодоступных мест и их перемещение в безопасное место.	—	Добавлено
1.7	Тема 1 / Теоретическое занятие по теме 1	Правила вызова скорой медицинской помощи, других специальных служб, сотрудники которых обязаны оказывать первую помощь.	Основные правила вызова скорой медицинской помощи и других специальных служб, сотрудники которых обязаны оказывать первую помощь.	Переформулирование
2	Тема 2	Тема 2. Оказание первой помощи при наружных кровотечениях	Тема 3. Оказание первой помощи при наружных кровотечениях и травмах	Разделение темы / изменение нумерации
