№	Было (исходная редакция) — полная формулировка	Стало (ред. N 805 от 30.06.2026) — полная формулировка	Раздел	Характер изменения	Комментарий
1.1	Организация оказания первой помощи в Российской Федерации. Нормативно-правовая база, определяющая права, обязанности и ответственность при оказании первой помощи.	Нормативно-правовая база и организация оказания первой помощи в Российской Федерации.	Тема 1 / теория	Сокращение / обобщение	Формулировка сжата и переставлена. Исключены слова о правах, обязанностях и ответственности.
1.2	"Понятие ""первая помощь"". Перечень состояний, при которых оказывается первая помощь, перечень мероприятий по ее оказанию."	"Порядок оказания первой помощи. Приоритетность оказания первой помощи.
Перечень состояний, при которых оказывается первая помощь. Перечень мероприятий по оказанию первой помощи и последовательность их выполнения."	Тема 1 / теория	Существенная переработка	Исключено понятие «первая помощь». Добавлены порядок, приоритетность и последовательность выполнения мероприятий.
1.3	Современные наборы средств и устройств, использующиеся для оказания первой помощи (аптечка первой помощи (автомобильная), аптечка для оказания первой помощи работникам и др.). Основные компоненты, их назначение.	Укладки, наборы, комплекты и аптечки для оказания первой помощи. Основные компоненты и их назначение.	Тема 1 / теория	Переформулирование	Убраны примеры конкретных аптечек. Введена обобщённая терминология.
1.4	Общая последовательность действий на месте происшествия с наличием пострадавших. Соблюдение правил личной безопасности и обеспечение безопасных условий для оказания первой помощи (возможные факторы риска, их устранение). Простейшие меры профилактики инфекционных заболеваний, передающихся при непосредственном контакте с человеком, его кровью и другими биологическими жидкостями.	Обеспечение безопасных условий для оказания первой помощи. Профилактика инфекционных заболеваний при оказании первой помощи.	Тема 1 / теория	Сокращение / обобщение	Детализация безопасности и профилактики свёрнута.
1.5	—	Извлечение пострадавших из труднодоступных мест и их перемещение в безопасное место.	Тема 1 / теория	Добавлено	Новый теоретический пункт темы 1.
1.6	Основные правила вызова скорой медицинской помощи и других специальных служб, сотрудники которых обязаны оказывать первую помощь.	Правила вызова скорой медицинской помощи, других специальных служб, сотрудники которых обязаны оказывать первую помощь.	Тема 1 / теория	Переформулирование	Убрано слово «Основные»; «и других» → «других».
С.1	Тема 2. Оказание первой помощи при отсутствии сознания, остановке дыхания и кровообращения	Тема 3. Оказание первой помощи при отсутствии сознания, остановке дыхания и кровообращения	Структура	Перенесено	Блок реанимации сдвинут с номера 2 на номер 3.
С.2	Тема 3. Оказание первой помощи при наружных кровотечениях и травмах	Тема 2. Оказание первой помощи при наружных кровотечениях	Структура	Разделение темы	Кровотечения → тема 2; травмы → тема 4.
С.3	Тема 4. Оказание первой помощи при прочих состояниях	Тема 4. Оказание первой помощи при травмах, ранениях, поражениях и прочих состояниях	Структура	Объединение тем	Тема расширена за счёт травм, ранений и поражений.
2.1	Цель и порядок выполнения обзорного осмотра пострадавшего.	Кровотечение. Обзорный осмотр пострадавшего (пострадавших).	Тема 2 / теория ← Тема 3 / теория	Переформулирование	
2.2	"Понятия ""кровотечение"", ""острая кровопотеря"". Признаки различных видов наружного кровотечения (артериального, венозного, капиллярного, смешанного). Способы временной остановки наружного кровотечения: пальцевое прижатие артерии, наложение жгута, максимальное сгибание конечности в суставе, прямое давление на рану, наложение давящей повязки."	"Признаки наружного кровотечения и кровопотери.
Способы временной остановки наружного кровотечения."	Тема 2 / теория ← Тема 3 / теория	Сокращение / обобщение	Убрана классификация видов и перечень способов в теории.
2.3	—	Последовательность выполнения мероприятий по остановке кровотечения.	Тема 2 / теория	Добавлено	
2.4	—	Остановка кровотечения при ранениях различных областей тела.	Тема 2 / теория	Добавлено	
2.5	Оказание первой помощи при носовом кровотечении.	—	Тема 3 (исходная) / теория	Исключено	
2.6	Понятие о травматическом шоке, причины и признаки. Мероприятия, предупреждающие развитие травматического шока.	—	Тема 3 (исходная) / теория	Исключено	
2.7	Отработка проведения обзорного осмотра пострадавшего.	Отработка проведения обзорного осмотра пострадавшего (пострадавших).	Тема 2 / практика ← Тема 3 / практика	Переформулирование	
2.8	Отработка приемов временной остановки наружного кровотечения при ранениях головы, шеи, груди, живота, таза и конечностей с помощью пальцевого прижатия артерий (сонной, подключичной, подмышечной, плечевой, бедренной); наложение табельного и импровизированного кровоостанавливающего жгута (жгута-закрутки, ремня), максимальное сгибание конечности в суставе, прямое давление на рану, наложение давящей повязки.	"Отработка временной остановки наружного кровотечения при ранении головы, шеи, груди, спины, живота, конечностей и смежных зон с помощью прямого давления на рану.
Отработка наложения давящей повязки при ранении головы, груди, спины, живота, конечностей и смежных зон.
Отработка приемов наложения табельных и импровизированных кровоостанавливающих жгутов разных конструкций при ранении конечностей."	Тема 2 / практика ← Тема 3 / практика	Существенная переработка	Убраны пальцевое прижатие артерий и максимальное сгибание конечности; добавлены спина и смежные зоны.
2.9	Отработка приемов наложения повязок при наличии инородного предмета в ране живота, груди, конечностей.	Отработка приемов наложения давящей повязки с фиксацией инородного предмета в ране живота, груди, спины, конечностей.	Тема 2 / практика ← Тема 3 / практика	Переформулирование	
2.10	"Проведение подробного осмотра пострадавшего.
Отработка наложения окклюзионной (герметизирующей) повязки при ранении грудной клетки.
Отработка приемов первой помощи при переломах. Иммобилизация (подручными средствами, аутоиммобилизация, с использованием медицинских изделий).
Отработка приемов фиксации шейного отдела позвоночника."	— (перенесено в практику темы 4; см. п. 4.12–4.16)	Тема 2 / практика	Перенесено	
3.1	Основные признаки жизни у пострадавшего. Причины нарушения дыхания и кровообращения. Способы проверки сознания, дыхания, кровообращения у пострадавшего.	Определение признаков жизни.	Тема 3 / теория ← Тема 2 / теория	Сокращение / обобщение	
3.2	—	Восстановление и поддержание проходимости дыхательных путей.	Тема 3 / теория	Добавлено	
3.3	Современный алгоритм проведения сердечно-легочной реанимации (далее - реанимация). Техника проведения искусственного дыхания и давления руками на грудину пострадавшего при проведении реанимации.	Техника проведения сердечно-легочной реанимации.	Тема 3 / теория ← Тема 2 / теория	Сокращение / обобщение	
3.4	—	Использование автоматического наружного дефибриллятора (при его наличии).	Тема 3 / теория	Добавлено	
3.5	Ошибки и осложнения, возникающие при выполнении реанимационных мероприятий. Показания к прекращению реанимации. Мероприятия, выполняемые после прекращения реанимации.	—	Тема 2 (исходная) / теория	Исключено	
3.6	Особенности реанимации у детей.	—	Тема 2 (исходная) / теория	Исключено	
3.7	Порядок оказания первой помощи при частичном и полном нарушении проходимости верхних дыхательных путей, вызванном инородным телом у пострадавших в сознании, без сознания. Особенности оказания первой помощи тучному пострадавшему, беременной женщине и ребенку.	Первая помощь при нарушении проходимости верхних дыхательных путей, вызванном инородным телом.	Тема 3 / теория ← Тема 2 / теория	Сокращение / обобщение	
3.8	—	Первая помощь при иных угрожающих жизни и здоровью нарушениях дыхания.	Тема 3 / теория	Добавлено	
3.9	Выполнение алгоритма реанимации.	Отработка последовательности выполнения реанимационных мероприятий.	Тема 3 / практика ← Тема 2 / практика	Переформулирование	
3.10	Оценка обстановки на месте происшествия.	Оценка обстановки на месте происшествия.	Тема 3 / практика ← Тема 2 / практика	Без изменений	
3.11	Отработка навыков определения сознания у пострадавшего.	Отработка приемов определения сознания у пострадавшего.	Тема 3 / практика ← Тема 2 / практика	Переформулирование	
3.12	Отработка приемов восстановления проходимости верхних дыхательных путей. Оценка признаков жизни у пострадавшего.	"Отработка приемов восстановления проходимости верхних дыхательных путей.
Оценка признаков жизни у пострадавшего."	Тема 3 / практика ← Тема 2 / практика	Без изменений	
3.13	Отработка вызова скорой медицинской помощи, других специальных служб.	Отработка вызова скорой медицинской помощи, других специальных служб.	Тема 3 / практика ← Тема 2 / практика	Без изменений	
3.14	"Отработка приемов искусственного дыхания ""рот ко рту"", ""рот к носу"" с применением устройств для искусственного дыхания.
Отработка приемов давления руками на грудину пострадавшего."	"Отработка приемов давления руками на грудину пострадавшего.
Отработка приемов искусственного дыхания ""рот ко рту"", ""рот к носу"" с применением устройств для искусственного дыхания."	Тема 3 / практика ← Тема 2 / практика	Переформулирование	Изменён порядок: сначала компрессии, затем искусственное дыхание.
3.15	Отработка приема перевода пострадавшего в устойчивое боковое положение.	Отработка приема перевода пострадавшего в устойчивое боковое положение.	Тема 3 / практика ← Тема 2 / практика	Без изменений	
3.16	—	Отработка алгоритма применения автоматического наружного дефибриллятора.	Тема 3 / практика	Добавлено	
3.17	Отработка приемов удаления инородного тела из верхних дыхательных путей пострадавшего.	Отработка приемов удаления инородного тела из верхних дыхательных путей пострадавшего.	Тема 3 / практика ← Тема 2 / практика	Без изменений	
4.1	Цель и последовательность подробного осмотра пострадавшего. Основные состояния, с которыми может столкнуться участник оказания первой помощи.	"Подробный осмотр и опрос пострадавшего.
Основные состояния, с которыми может столкнуться участник оказания первой помощи."	Тема 4 / теория ← Тема 3 / теория	Переформулирование	Добавлен опрос.
4.2	"Травмы головы. Оказание первой помощи. Особенности ранений волосистой части головы. Особенности оказания первой помощи при травмах глаза и носа.
Травмы шеи, оказание первой помощи. Временная остановка наружного кровотечения при травмах шеи. Фиксация шейного отдела позвоночника (вручную, подручными средствами, с использованием медицинских изделий).
Травмы груди, оказание первой помощи. Основные проявления травмы груди, особенности наложения повязок при травме груди, наложение окклюзионной (герметизирующей) повязки. Особенности наложения повязки на рану груди с инородным телом.
Травмы живота и таза, основные проявления. Оказание первой помощи.
Закрытая травма живота с признаками внутреннего кровотечения. Оказание первой помощи. Особенности наложения повязок на рану при выпадении органов брюшной полости, при наличии инородного тела в ране.
Травмы конечностей, оказание первой помощи. Понятие ""иммобилизация"". Способы иммобилизации при травме конечностей.
Травмы позвоночника. Оказание первой помощи."	Травмы различных областей тела.	Тема 4 / теория ← Тема 3 / теория	Сокращение / обобщение	
4.3	"Виды ожогов, их признаки. Понятие о поверхностных и глубоких ожогах. Ожог верхних дыхательных путей, основные проявления. Оказание первой помощи.
Перегревание, факторы, способствующие его развитию. Основные проявления, оказание первой помощи.
Холодовая травма, ее виды. Основные проявления переохлаждения (гипотермии), отморожения, оказание первой помощи."	Поражения, вызванные термическими факторами, - ожоги, перегревание, отморожение, переохлаждение.	Тема 4 / теория ← Тема 4 / теория	Сокращение / обобщение	
4.4	—	Поражения, вызванные химическими и электрическими факторами, излучением.	Тема 4 / теория	Добавлено	
4.5	Отравления, пути попадания ядов в организм. Признаки острого отравления. Оказание первой помощи при попадании отравляющих веществ в организм через дыхательные пути, пищеварительный тракт, через кожу.	Отравления.	Тема 4 / теория ← Тема 4 / теория	Сокращение / обобщение	
4.6	—	Укусы и ужаливания ядовитых животных.	Тема 4 / теория	Добавлено	
4.7	—	Судорожный приступ с потерей сознания.	Тема 4 / теория	Добавлено	
4.8	—	Помощь пострадавшему в принятии лекарственных препаратов.	Тема 4 / теория	Добавлено	
4.9	"Цель и принципы придания пострадавшим оптимальных положений тела. Оптимальные положения тела пострадавшего с травмами груди, живота, таза, конечностей, с потерей сознания, с признаками кровопотери.
Способы контроля состояния пострадавшего, находящегося в сознании, без сознания.
Психологическая поддержка. Цели оказания психологической поддержки. Общие принципы общения с пострадавшими, простые приемы их психологической поддержки."	Придание и поддержание оптимального положения тела пострадавшего, контроль состояния, психологическая поддержка.	Тема 4 / теория ← Тема 4 / теория	Сокращение / обобщение	
4.10	—	Транспортировка пострадавшего.	Тема 4 / теория	Добавлено	
4.11	Принципы передачи пострадавшего бригаде скорой медицинской помощи, другим специальным службам, сотрудники которых обязаны оказывать первую помощь.	Передача пострадавшего выездной бригаде скорой медицинской помощи, медицинской организации, специальным службам.	Тема 4 / теория ← Тема 4 / теория	Переформулирование	
4.12	Проведение подробного осмотра пострадавшего.	Проведение подробного осмотра и опроса пострадавшего.	Тема 4 / практика ← Тема 3 / практика	Переформулирование	
4.13	Отработка наложения окклюзионной (герметизирующей) повязки при ранении грудной клетки.	Отработка наложения окклюзионной (герметизирующей) повязки при ранении грудной клетки.	Тема 4 / практика ← Тема 3 / практика	Перенесено	
4.14	Отработка приемов наложения повязок при наличии инородного предмета в ране живота, груди, конечностей.	Отработка приемов наложения повязок на рану при выпадении органов брюшной полости, при наличии инородного предмета в ране живота, груди, спины, конечностей.	Тема 4 / практика ← Тема 3 / практика	Расширение / детализация	
4.15	Отработка приемов первой помощи при переломах. Иммобилизация (подручными средствами, аутоиммобилизация, с использованием медицинских изделий).	Отработка приемов первой помощи при переломах. Иммобилизация (подручными средствами, аутоиммобилизация, с использованием медицинских изделий, обездвиживание руками травмированных частей тела).	Тема 4 / практика ← Тема 3 / практика	Расширение / детализация	
4.16	Отработка приемов фиксации шейного отдела позвоночника.	Отработка приемов фиксации шейного отдела позвоночника.	Тема 4 / практика ← Тема 3 / практика	Перенесено	
4.17	Отработка приемов наложения повязок при ожогах различных областей тела. Применение местного охлаждения.	Отработка приемов наложения повязок при ожогах различных областей тела. Применение местного охлаждения.	Тема 4 / практика ← Тема 4 / практика	Без изменений	
4.18	Отработка приемов наложения термоизолирующей повязки при отморожениях.	Отработка приемов наложения термоизолирующей повязки при отморожениях.	Тема 4 / практика ← Тема 4 / практика	Без изменений	
4.19	Отработка приемов придания оптимального положения тела пострадавшему при отсутствии сознания, травмах различных областей тела, значительной кровопотере.	Отработка приемов придания оптимального положения тела пострадавшему при отсутствии сознания, травмах различных областей тела, значительной кровопотере.	Тема 4 / практика ← Тема 4 / практика	Без изменений	
4.20	Отработка приемов экстренного извлечения пострадавшего из труднодоступного места, отработка основных приемов (пострадавший в сознании, пострадавший без сознания).	Отработка приемов экстренного извлечения пострадавшего из труднодоступного места, отработка основных приемов (пострадавший в сознании, пострадавший без сознания).	Тема 4 / практика ← Тема 4 / практика	Без изменений	
4.21	Отработка приемов перемещения пострадавших на руках одним, двумя и более участниками оказания первой помощи. Отработка приемов переноски пострадавших с травмами головы, шеи, груди, живота, таза, конечностей и позвоночника.	Отработка приемов перемещения пострадавших на руках одним, 2 и более участниками оказания первой помощи. Отработка приемов перемещения пострадавших с травмами головы, шеи, груди, спины, живота, таза, конечностей и позвоночника.	Тема 4 / практика ← Тема 4 / практика	Переформулирование	
4.22	Отработка приемов оказания психологической поддержки пострадавшим при различных острых стрессовых реакциях. Способы самопомощи в экстремальных ситуациях.	Отработка приемов оказания психологической поддержки пострадавших при различных острых психологических реакциях на стресс. Способы самопомощи в экстремальных ситуациях.	Тема 4 / практика ← Тема 4 / практика	Переформулирование	
И.1	Травмы головы. Оказание первой помощи. Особенности ранений волосистой части головы. Особенности оказания первой помощи при травмах глаза и носа.	—	Тема 3 (исходная) / теория	Исключено	
И.2	Травмы шеи, оказание первой помощи. Временная остановка наружного кровотечения при травмах шеи. Фиксация шейного отдела позвоночника (вручную, подручными средствами, с использованием медицинских изделий).	—	Тема 3 (исходная) / теория	Исключено	
И.3	Травмы груди, оказание первой помощи. Основные проявления травмы груди, особенности наложения повязок при травме груди, наложение окклюзионной (герметизирующей) повязки. Особенности наложения повязки на рану груди с инородным телом.	—	Тема 3 (исходная) / теория	Исключено	
И.4	"Травмы живота и таза, основные проявления. Оказание первой помощи.
Закрытая травма живота с признаками внутреннего кровотечения. Оказание первой помощи. Особенности наложения повязок на рану при выпадении органов брюшной полости, при наличии инородного тела в ране."	—	Тема 3 (исходная) / теория	Исключено	
И.5	"Травмы конечностей, оказание первой помощи. Понятие ""иммобилизация"". Способы иммобилизации при травме конечностей."	—	Тема 3 (исходная) / теория	Исключено	
И.6	Травмы позвоночника. Оказание первой помощи.	—	Тема 3 (исходная) / теория	Исключено	
