Наименование программы,Источник,[План 2026] Тип работы,[План 2026] Компания,[План 2026] Направление,[План 2026] Часов,[План 2026] Вид обучения,[План 2026] Заказчик,[План 2026] Контактное лицо,[План 2026] Примечание,[План 2026] Статус,[План 2026] Автор курса,[План 2026] Даты,[План 2026] ID курса,[Каталог] ID,[Каталог] Описание,[Каталог] Цена,[Каталог] Бейдж,[Каталог] Часы,[Каталог] Тип обучения,[Каталог] ФРДО/РОЛ,[Каталог] ProgramId,[Каталог] Код ЕИСОТ,[Каталог] Программа ЕИС,[Каталог] Часы ЕИС,[Каталог] Ссылка/год
Адаптивные тесты для РТН,План разработки 2026,актуализация,,ПБ,,,Профтехстандарт,Борисова Надежда,тесты в РТН актуализировались последний раз год назад (по ТЭУ актуализировались 6 месяцев назад),,,март,,,,,,,,,,,,,
Аппаратчик химводоочистки,Каталог курсов (СДО),,,,,,,,,,,,,11207,Целями прNULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~daq1S,,
"Б.1.2, Б.1.7, Б.1.9, Б.1.10, Б.1.12, Б 1.19, Б 7.8, Б 8.1",План разработки 2026,разработка,,ПБ,,,Ефремова Юлия,,,запрос на разработку,,,,,,,,,,,,,,,
"Безопасная эксплуатация складского оборудования (стеллажи, стеллажи полочные, складские мезонины). ГОСТ",Каталог курсов (СДО),,,,,,,,,,,,,11136,NULL NULL 410,NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~4ERT2,,
"Безопасное ведение газоопасных, огневых и ремонтных работ (область аттестации Б.1.11)",Каталог курсов (СДО),,,,,,,,,,,,,9877,NULL NULL 290,NULL,72,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~IAW52,,
Безопасное обращение с пестицидами и агрохимикатами,Каталог курсов (СДО),,,,,,,,,,,,,11090,Курс пред NULL 370,NULL,40,Повышение,квалификации Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~LSU8R,,
Безопасное обращение с химическими веществами и материалами,Каталог курсов (СДО),,,,,,,,,,,,,11110,Курс пред NULL 370,NULL,16,Повышение,квалификации Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~pzzRI,,
Безопасное производство работ по отбору проб газовоздушной среды,Каталог курсов (СДО),,,,,,,,,,,,,9379,NULL NULL 370,NULL,-,Охрана,труда/Курсы по новому п Нет,NULL NULL,NULL,NULL,,,0
Безопасные методы и приемы выполнения работ для электромонтажника по силовым сетям,Каталог курсов (СДО),,,,,,,,,,,,,9374,NULL NULL 370,NULL,16,Охрана,труда/Курсы по новому п Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~NCL0F,,
Безопасные методы и приемы выполнения работ для электромонтера охранно-пожарной сигнализации,Каталог курсов (СДО),,,,,,,,,,,,,9355,NULL NULL 370,NULL,16,Охрана,труда/Курсы по новому п Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~d5ake,,
